09:42:55,131 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 315 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/102>
09:42:55,132 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 318 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/103>
09:42:55,132 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 321 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/104>
09:42:55,133 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 324 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/105>
09:42:55,133 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 327 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/106>
09:42:55,133 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 330 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/107>
09:42:55,134 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 333 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/108>
09:42:55,134 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 336 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/109>
09:42:55,135 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 339 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/110>
09:42:55,136 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 342 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/111>
09:42:55,136 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 345 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/112>
09:42:55,136 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 348 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/113>
09:42:55,137 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 351 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/114>
09:42:55,137 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 354 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/115>
09:42:55,138 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 357 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/116>
09:42:55,138 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 360 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/117>
09:42:55,139 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 363 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/118>
09:42:55,139 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 366 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/119>
09:42:55,140 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 369 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/120>
09:42:55,140 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 372 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/121>
09:42:55,140 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 375 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/122>
09:42:55,141 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 378 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/123>
09:42:55,141 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 381 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/124>
09:42:55,142 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 384 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/125>
09:42:55,142 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 387 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/126>
09:42:55,142 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 390 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/127>
09:42:55,143 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 393 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/128>
09:42:55,143 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 396 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/129>
09:42:55,143 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 399 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/130>
09:42:55,144 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 402 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/131>
09:42:55,144 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 405 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/132>
09:42:55,144 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 408 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/133>
09:42:55,145 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 411 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/134>
09:42:55,145 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 414 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/135>
09:42:55,146 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 417 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/136>
09:42:55,146 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 420 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/137>
09:42:55,147 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 423 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/138>
09:42:55,147 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 426 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/139>
09:42:55,147 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 429 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/140>
09:42:55,148 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 432 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/141>
09:42:55,148 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 435 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/142>
09:42:55,148 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 438 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/143>
09:42:55,149 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 441 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/144>
09:42:55,149 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 444 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/145>
09:42:55,149 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 447 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/146>
09:42:55,150 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 450 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/147>
09:42:55,150 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 453 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/148>
09:42:55,151 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 456 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/149>
09:42:55,151 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 459 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/150>
09:42:55,151 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 462 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/151>
09:42:55,152 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 465 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/152>
09:42:55,152 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 468 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/153>
09:42:55,153 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 471 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/154>
09:42:55,155 INFO  [Vocabulary] --- Building the Vocabulary index from the RDF model...
09:42:55,239 INFO  [Vocabulary] --- Statistics about the vocabulary: 
09:42:55,240 INFO  [Vocabulary] 	146 terms in total
09:42:55,240 INFO  [Vocabulary] 	0 non-descriptive terms
09:42:55,240 INFO  [Vocabulary] 	0 terms have related terms
09:42:55,240 INFO  [MauiModelBuilder] -- Adding documents as instances... 
09:42:55,373 INFO  [MauiModelBuilder] -- Building the model... 
09:42:56,117 WARN  [MauiFilter] Warning! This documents does not contain valid keyphrases
09:42:56,117 WARN  [MauiFilter] ?
09:42:56,120 WARN  [MauiFilter] Warning! This documents does not contain valid keyphrases
09:42:56,121 WARN  [MauiFilter] ?
09:43:26,970 INFO  [MauiTopicExtractor] --- Loading the vocabulary...
09:43:26,970 INFO  [Vocabulary] --- Loading RDF model from the SKOS file...
09:43:26,972 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 9 column 35): {W130} Base URI is "", relative URIs left as relative.: <r>
09:43:26,972 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 12 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/1>
09:43:26,972 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 15 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/2>
